studentId,courseCode,internalMarks,examMarks,maxInternal,maxExam
STU101,CSE3001,48.00,47.00,50.00,50.00
STU101,CSE3002,44.00,43.00,50.00,50.00
STU101,MAT2001,46.00,48.00,50.00,50.00
STU102,CSE3001,40.00,42.00,50.00,50.00
STU102,CSE3002,38.00,37.00,50.00,50.00
STU102,MAT2001,42.00,40.00,50.00,50.00
STU103,CSE3001,32.00,33.00,50.00,50.00
STU103,ECE3001,28.00,30.00,50.00,50.00
STU103,MAT2001,30.00,25.00,50.00,50.00
STU104,MECH201,22.00,24.00,50.00,50.00
STU104,MAT2001,18.00,15.00,50.00,50.00
STU105,CSE3001,15.00,18.00,50.00,50.00
STU105,CSE3002,18.00,20.00,50.00,50.00
